180,651,10
234.667,615,10
269.333,620.333,10
289.333,640.333,10
341.333,639,10
373.333,637.667,10
405.333,657.667,10
328,683,10
384,697.667,10
170.667,637.667,13
188,676.333,13
133.333,659,13
122.667,667,13
108,653.667,13
88,648.333,13
68,652.333,13
48,647,13
81.333,635,15
106.667,625.667,15
102.667,643,15
16,633.667,18
10.667,645.667,18
0,620.333,18
149.333,624.333,16
153.333,648.333,16
137.333,595,17
84,604.333,19
72,625.667,19
64,615,19
46.667,645.667,19
68,645.667,19
110.667,667,19
137.333,660.333,19
138.667,615,19
141.333,595,19
128,604.333,21
101.333,608.333,19
52,623,23
29.333,639,24
62.667,647,24
78.667,628.333,24
85.333,648.333,24
92,644.333,24
104,652.333,24
124,652.333,24
144,664.333,24
118.667,664.333,24
110.667,617.667,26
148,619,26
181.333,675,27
246.667,599,28
240,639,28
173.333,647,28
276,681.667,25
241.333,580.333,25
186.667,693.667,25
212,697.667,25
176,665.667,18
150.667,632.333,21
141.333,608.333,21
166.667,685.667,18
181.333,696.333,18
204,696.333,18
238.667,704.333,18
284,685.667,18
274.667,709.667,18
321.333,712.333,18
360,720.333,18
229.333,601.667,18
354.667,552.333,13
308,655,28
340,608.333,28
405.333,593.667,28
464,592.333,28
528,615,28
488,644.333,28
446.667,640.333,28
357.333,699,27
440,549.667,27
580,692.333,26
441.333,633.667,21
400,548.333,18
450.667,543,20
468,539,20
536,535,20
484,736.333,18
540,743,18
